param NO_Staff = 10

param NO_Visits = 50

param T_MAX = 672

param nModeOfTravel = 1

param extra_staff_penalty = 99999

set Visit_Demands[29] := 48;
set Visit_Demands[48] := ; # empty
set Visit_Demands[18] := 39;
set Visit_Demands[39] := ; # empty
set Visit_Demands[8] := 27;
set Visit_Demands[27] := ; # empty
set Visit_Demands[47] := ; # empty
set Visit_Demands[44] := 47;
set Visit_Demands[19] := ; # empty
set Visit_Demands[5] := 19;
set Visit_Demands[1] := ; # empty
set Visit_Demands[2] := ; # empty
set Visit_Demands[3] := ; # empty
set Visit_Demands[4] := ; # empty
set Visit_Demands[6] := ; # empty
set Visit_Demands[7] := ; # empty
set Visit_Demands[9] := ; # empty
set Visit_Demands[10] := ; # empty
set Visit_Demands[11] := ; # empty
set Visit_Demands[12] := ; # empty
set Visit_Demands[13] := ; # empty
set Visit_Demands[14] := ; # empty
set Visit_Demands[15] := ; # empty
set Visit_Demands[16] := ; # empty
set Visit_Demands[17] := ; # empty
set Visit_Demands[20] := ; # empty
set Visit_Demands[21] := ; # empty
set Visit_Demands[22] := ; # empty
set Visit_Demands[23] := ; # empty
set Visit_Demands[24] := ; # empty
set Visit_Demands[25] := ; # empty
set Visit_Demands[26] := ; # empty
set Visit_Demands[28] := ; # empty
set Visit_Demands[30] := ; # empty
set Visit_Demands[31] := ; # empty
set Visit_Demands[32] := ; # empty
set Visit_Demands[33] := ; # empty
set Visit_Demands[34] := ; # empty
set Visit_Demands[35] := ; # empty
set Visit_Demands[36] := ; # empty
set Visit_Demands[37] := ; # empty
set Visit_Demands[38] := ; # empty
set Visit_Demands[40] := ; # empty
set Visit_Demands[41] := ; # empty
set Visit_Demands[42] := ; # empty
set Visit_Demands[43] := ; # empty
set Visit_Demands[45] := ; # empty
set Visit_Demands[46] := ; # empty
set Visit_Demands[49] := ; # empty
set Visit_Demands[50] := ; # empty

param :     a     b     :=
0      0   672
1      0   103
2     89   203
3    214   440
4    293   461
5    434   653
6      0   109
7     57   267
8     78   280
9    240   395
10   333   504
11     0   112
12     0   208
13   118   332
14   158   422
15   384   542
16     0    93
17     0   133
18   160   389
19   434   653
20   465   618
21     0    84
22    76   227
23   123   290
24   145   370
25   266   448
26     0   109
27    78   280
28   224   407
29   307   566
30   488   612
31     0    92
32    75   156
33   225   455
34   271   468
35   380   526
36     0    87
37     0   136
38    77   276
39   160   389
40   276   510
41     0   118
42     0   163
43   102   319
44   193   380
45   298   455
46     0    90
47   193   380
48   307   566
49   460   626
50   492   672
51     0   672
;

param Duration [*] :=
 1  62    7  43   13  63   19  27   25 102   31  73   37  99   43  94   49  41
 2 122    8  75   14  87   20  24   26  49   32 145   38  69   44  75   50  37
 3  69    9  98   15  91   21 101   27  75   33  37   39  72   45  50
 4 118   10  85   16  13   22  45   28 103   34  53   40  80   46  36
 5  27   11  55   17  89   23  55   29  88   35  37   41  45   47  75
 6  93   12  78   18  72   24  83   30  81   36  32   42  63   48  88
;

param TimeMatrix [*,*,1]
:    0      1       2       3       4       5       6       7       8       9 :=
0     0      23      25      16      13      20      16      22      16      18
1    23   10000      47      27      19      26      33      42      28      26
2    25      47   10000      33      35      33      25      10      31      36
3    16      27      33   10000       9      35       9      34       3       4
4    13      19      35       9   10000      30      15      34      10       8
5    20      26      33      35      30   10000      35      25      35      37
6    16      33      25       9      15      35   10000      28       7      12
7    22      42      10      34      34      25      28   10000      32      37
8    16      28      31       3      10      35       7      32   10000       6
9    18      26      36       4       8      37      12      37       6   10000
10   22      43      16      21      26      38      13      22      19      24
11   21      10      44      31      23      17      35      37      31      31
12   20      12      45      17      10      32      25      42      19      15
13   20      31      33       5      13      39       8      35       5       6
14   20      19      39      34      27       9      36      31      33      34
15   19      41      11      23      26      32      15      16      21      26
16   18      33      23      33      30      11      31      14      32      36
