R112

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0        230          0   
    1      41         49         10         73        204         10   
    2      35         17          7         18        147         10   
    3      55         45         13         76        165         10   
    4      55         20         19         73        195         10   
    5      15         30         26         20        167         10   
    6      25         30          3         49        158         10   
    7      20         50          5         36        135         10   
    8      10         43          9         50        149         10   
    9      55         60         16         47        156         10   
   10      30         60         16         85        172         10   
