RC107

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
    1      25         85         20        125        191         10   
    2      22         75         30         32         97         10   
    3      22         85         10        101        146         10   
    4      20         80         40         71        193         10   
    5      20         85         20         40        113         10   
    6      18         75         20         55        164         10   
    7      15         75         20         69        118         10   
    8      15         80         10         56        155         10   
    9      10         35         20         51        160         10   
   10      10         40         30         90        177         10   
