R204

VEHICLE
NUMBER     CAPACITY
  10         1000

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0       1000          0   
    1      41         49         10          0        974         10   
    2      35         17          7          0        972         10   
    3      55         45         13          0        967         10   
    4      55         20         19        678        801         10   
    5      15         30         26          0        969         10   
    6      25         30          3          0        978         10   
    7      20         50          5          0        968         10   
    8      10         43          9        404        481         10   
    9      55         60         16        400        497         10   
   10      30         60         16          0        964         10   
