R110

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0        230          0   
    1      41         49         10        130        201         10   
    2      35         17          7         20         89         10   
    3      55         45         13        106        135         10   
    4      55         20         19         71        195         10   
    5      15         30         26         20        107         10   
    6      25         30          3         54        153         10   
    7      20         50          5         66        105         10   
    8      10         43          9         61        138         10   
    9      55         60         16         53        150         10   
   10      30         60         16        101        156         10   
