RC205

VEHICLE
NUMBER     CAPACITY
  10         1000

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME

    0      40         50          0          0        960          0   
    1      25         85         20        431        911         10   
    2      22         75         30         30        510         10   
    3      22         85         10        291        771         10   
    4      20         80         40        674        734         10   
    5      20         85         20         40        520         10   
    6      18         75         20        393        502         10   
    7      15         75         20        120        600         10   
    8      15         80         10        397        457         10   
    9      10         35         20        401        461         10   
   10      10         40         30        535        622         10   
