RC208

VEHICLE
NUMBER     CAPACITY
  10         1000

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME

    0      40         50          0          0        960          0   
    1      25         85         20        388        911         10   
    2      22         75         30         30        546         10   
    3      22         85         10        353        708         10   
    4      20         80         40        425        913         10   
    5      20         85         20         40        630         10   
    6      18         75         20        228        667         10   
    7      15         75         20        161        558         10   
    8      15         80         10        229        624         10   
    9      10         35         20        213        648         10   
   10      10         40         30        404        753         10   
