C107

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0       1236          0   
    1      45         68         10        850       1030         90   
    2      45         70         30        758        938         90   
    3      42         66         10         16        196         90   
    4      42         68         10        665        845         90   
    5      42         65         10         15        195         90   
    6      40         69         20        572        752         90   
    7      40         66         20        108        288         90   
    8      38         68         20        200        380         90   
    9      38         70         10        480        660         90   
   10      35         66         10        294        474         90   
