RC206

VEHICLE
NUMBER     CAPACITY
  10         1000

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME

    0      40         50          0          0        960          0   
    1      25         85         20        613        853         10   
    2      22         75         30         92        332         10   
    3      22         85         10        411        651         10   
    4      20         80         40        584        824         10   
    5      20         85         20         40        280         10   
    6      18         75         20        328        568         10   
    7      15         75         20        240        480         10   
    8      15         80         10        307        547         10   
    9      10         35         20        311        551         10   
   10      10         40         30        459        699         10   
