R210

VEHICLE
NUMBER     CAPACITY
  10         1000

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0       1000          0   
    1      41         49         10        190        974         10   
    2      35         17          7         18        792         10   
    3      55         45         13        289        822         10   
    4      55         20         19        679        800         10   
    5      15         30         26         20        906         10   
    6      25         30          3        355        574         10   
    7      20         50          5         72        669         10   
    8      10         43          9        393        492         10   
    9      55         60         16        394        503         10   
   10      30         60         16        517        692         10   
