R209

VEHICLE
NUMBER     CAPACITY
  10         1000

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0       1000          0   
    1      41         49         10        636        919         10   
    2      35         17          7         74        351         10   
    3      55         45         13        498        613         10   
    4      55         20         19        470        965         10   
    5      15         30         26         20        370         10   
    6      25         30          3        266        663         10   
    7      20         50          5        292        449         10   
    8      10         43          9        288        597         10   
    9      55         60         16        254        643         10   
   10      30         60         16        496        713         10   
