C106

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0       1236          0   
    1      45         68         10        890        989         90   
    2      45         70         30        816        879         90   
    3      42         66         10         55        156         90   
    4      42         68         10        703        806         90   
    5      42         65         10         15         60         90   
    6      40         69         20        559        764         90   
    7      40         66         20        172        223         90   
    8      38         68         20        250        329         90   
    9      38         70         10        489        650         90   
   10      35         66         10        361        406         90   
