         i         j       pij       pji
        93        17       -10       -10
        49        50       -10       -10
        28        26       -10       -10
        32        57       -10       -10
        98        58       -10       -10
        90        11       -10       -10
        48       100       -10       -10
        81        83       -10       -10
        55        74       -10       -10
        28         9       -10       -10
       100        68       -10       -10
        75        91       -10       -10
        85        67       -10       -10
         7        85       -10       -10
        11         8       -10       -10
        29        94       -10       -10
        64        79       -10       -10
         4        21       -10       -10
        33        11       -10       -10
        94        18       -10       -10
        35        21       -10       -10
        79        87       -10       -10
        40        78       -10       -10
        70        48       -10       -10
        26        22       -10       -10
        67        29       -10       -10
        31        30       -10       -10
        27        64       -10       -10
        40        72       -10       -10
        44        63       -10       -10
        40        61       -10       -10
        96        60       -10       -10
        34        15       -10       -10
        27        94       -10       -10
        47        34       -10       -10
        82        24       -10       -10
        55         1       -10       -10
        52        81       -10       -10
        97         1       -10       -10
        83        36       -10       -10
        58        80       -10       -10
        61        84       -10       -10
        73         7       -10       -10
        50        15       -10       -10
        31        76       -10       -10
        41        84       -10       -10
        37        23       -10       -10
        59        95       -10       -10
        59        25       -10       -10
        40        50       -10       -10
        34        22       -10       -10
        49        29       -10       -10
        53        15       -10       -10
        28        19       -10       -10
        77        74       -10       -10
        46        20       -10       -10
        96         1       -10       -10
        93        75       -10       -10
        30        79       -10       -10
        27        81       -10       -10
        26        88       -10       -10
        32        97       -10       -10
        34        90       -10       -10
        33        99       -10       -10
         9        16       -10       -10
        92         2       -10       -10
        17         5       -10       -10
        23         6       -10       -10
        54        56       -10       -10
        38        45       -10       -10
         3        82       -10       -10
        42        39       -10       -10
        12        52       -10       -10
        23        41       -10       -10
        53        51       -10       -10
        96        95       -10       -10
        14        42       -10       -10
         4        13       -10       -10
        86        20       -10       -10
        32        82       -10       -10
        60        75       -10       -10
        46        95       -10       -10
        70        21       -10       -10
        93        48       -10       -10
        28        38       -10       -10
        81        71       -10       -10
        76        63       -10       -10
        99        62       -10       -10
        60        98       -10       -10
        89        82       -10       -10
        62        69       -10       -10
        91        43       -10       -10
        56        25       -10       -10
        24        66       -10       -10
        24        10       -10       -10
        19        39       -10       -10
         2        65       -10       -10
        86        85       -10       -10
         2        14       -10       -10
