         i         j       pij       pji
        94        80    2263.6   -100000
        27        76    1994.8   -100000
         4        23     573.2   -100000
        90        83   -1209.8   -100000
        84         3    -287.6   -100000
        82        75   -1665.7   -100000
        18        26    -511.4   -100000
        45        87     599.9   -100000
        70        10     795.5   -100000
        75        62       183   -100000
        49         7     492.3   -100000
        67        33     274.4   -100000
        95        88    1040.2   -100000
        59        77     798.6   -100000
        62        12    1752.4   -100000
        46        93   -1615.5   -100000
        91        63   -1135.6   -100000
        47         7   -1438.9   -100000
        16        28      -586   -100000
        52        54   -1314.7   -100000
        76         3    -909.7   -100000
        31        69     373.5   -100000
        61        64     175.4   -100000
        65        74    -823.8   -100000
        51        35   -1248.7   -100000
        43        32   -2230.2   -100000
        10        23   -1171.3   -100000
         3        69    -351.4   -100000
        86        37    -478.5   -100000
        78        40    -432.1   -100000
        32        67    -230.3   -100000
        95        97     -72.7   -100000
        43         9      28.6   -100000
        77        73      -800   -100000
        92        75    -849.4   -100000
        65        17    1682.8   -100000
        35        27     -1036   -100000
        15        81       864   -100000
        53        66   -1028.2   -100000
        19        43     734.7   -100000
        38        26     433.3   -100000
        11        73     -19.9   -100000
        52        15    -221.1   -100000
        61        43    2376.5   -100000
        91        34    -106.3   -100000
         7        51    1098.4   -100000
         7        85     607.8   -100000
        29       100     583.6   -100000
        72         4     978.7   -100000
        50        22   -2356.1   -100000
        68        11    1983.2   -100000
         3        21    1457.1   -100000
        35        25    1372.1   -100000
        26        85     884.6   -100000
        90        27   -2655.9   -100000
        79        85    -148.5   -100000
        85        44    -327.2   -100000
        69        72    -736.4   -100000
        85        43     454.3   -100000
        18        93   -1288.1   -100000
        46        12      92.6   -100000
        99        14    1230.2   -100000
        76       100   -1389.5   -100000
        73         4     -1374   -100000
        93        88    1334.4   -100000
        30        31     115.7   -100000
        50        54   -1336.9   -100000
        41        44    -845.5   -100000
        52        36   -1147.6   -100000
        17        48     678.5   -100000
        17        37   -1260.7   -100000
        42        61   -2405.1   -100000
         8        64   -2435.1   -100000
        66        81      2167   -100000
        15        31   -1514.7   -100000
        68        17    1833.4   -100000
        30        20     249.9   -100000
         7         1    -838.5   -100000
        71        21     552.5   -100000
        93        24    -285.2   -100000
         6        63     -75.7   -100000
         6        72      20.2   -100000
        83        13     650.3   -100000
        34        94    -803.6   -100000
        86         5   -1635.9   -100000
        40        73     424.5   -100000
        68         2    -339.5   -100000
        28        46     197.4   -100000
        96        55   -1990.3   -100000
        39        32    -551.8   -100000
        45        71     -94.8   -100000
        98        15     967.9   -100000
        65        57    1205.7   -100000
        91        14     686.5   -100000
        27        89    1444.3   -100000
        58        88     126.6   -100000
        56        27     -1102   -100000
        38        55     393.8   -100000
        60         4      -487   -100000
