         i         j       pij       pji
        61        43     -13.6    -119.9
        38        59     -51.6    -111.4
        48        26    -159.5      33.1
         1        98    -126.2      63.8
         6        19      26.6     -74.8
        35        93      39.1       -50
        96        92    -128.4      19.3
        87        60      -0.4      -3.8
        56        78     -36.7      26.3
        57        80       8.2    -139.9
         5        96     -60.8    -111.8
        93        18     -38.4       2.2
        88        45     -45.2      39.8
        37        10     -48.1     -40.8
        53        24      48.8     -87.9
        36        18       139    -152.9
        95        35     -17.4     -51.7
        14        40     -91.5      -9.9
        36         9      51.5     -62.6
        26        33     -53.6       8.7
        78        98     -47.3       -37
         8        64     -27.1      16.1
        39        79        43     -45.3
        48        60     -40.1      20.7
        94        80      74.4    -165.8
        71         2    -133.7     -15.3
        10         2    -105.7     -55.4
        87        19      36.5     -48.7
        69        42     -16.3      16.2
        57        30       -47      32.1
        60        89     -73.6      73.4
       100        89    -164.8     153.6
        68        97      29.7       -37
        98        31      45.3      -113
        84        41      -7.1       4.3
        59         1     161.3    -162.2
        95        14     -47.8      -4.7
        95        45     -69.6      52.8
        85        19      19.9     -40.3
         7        13     -30.6       0.1
         9        32     -40.4     -32.8
        62        18     113.4    -127.1
        58        67    -110.4     110.2
        68        51      -121      56.2
        16         5      73.1    -127.8
        49        62     -53.6      51.6
        32        77      70.5     -73.2
        42        50      29.9     -64.2
        81        85        67       -91
         3        77      84.3    -110.8
        96        56     -18.3     -34.8
         7        31     -24.5       6.8
        35        39    -100.2      95.2
        52        48     -13.6     -22.1
        77        92    -170.4     156.2
        93        90    -148.4      15.8
        75        79     -70.7     -26.8
        92         2      -6.3    -148.6
        16        69     -45.1      13.3
        82        74      14.1     -71.6
        73        48     -39.3     -30.6
        91        43       -59    -100.5
        85        37     -27.2     -82.6
        15        24      76.6     -80.8
        31        82      -108      12.3
        57        90      22.8     -62.7
        33        54      75.6     -82.5
       100        20    -123.1      89.3
        55        48     -21.4      -1.7
        58        72    -155.5      34.6
        44        67        13     -20.9
        11        34     -20.9      16.8
        47        44     -78.9     -33.9
        61         7      23.7     -63.3
        58        62    -141.8       137
        34        46      46.3    -100.2
        54        84     -27.4       8.9
        19        12    -107.2     -53.6
        86         5      46.6     -82.4
         2        29    -119.9    -161.3
        74        11     -80.3      74.7
        93        25      -9.4       6.2
        61        63     -92.7      -4.1
        87        66      38.4     -41.3
        72         8     -36.2      35.7
        35         4      -3.1       2.5
        98        51     -80.5      22.9
        11        27     -32.7      29.1
        22        84      -2.7      -2.4
        65        30      17.2     -25.6
        58        53    -104.1      99.3
        70        25      -6.3       4.7
        14        17      46.8     -61.3
        85        76     -49.8      14.3
        83        26     -32.1      -2.6
        27        23      26.3     -28.2
        15        21      42.6     -86.4
        99        13      69.1     -79.5
        28        79      74.7     -86.4
