         i         j       pij       pji
        38        87      17.6   -100000
        52         1       -10       -10
        79        76       -10       -10
        19        91       -10       -10
        14        67         0         0
        61        54       -10       -10
        37        30       -10       -10
        41        94         0         0
        21        54       -10       -10
        35        91       -10       -10
        13        97     -87.1      39.8
        85        89       -10       -10
         3        80      45.4   -100000
        98        56         0         0
        51        81         0         0
        33        54         0         0
        88        46     -13.9   -100000
        42        52         0         0
        93        64    -130.4     119.1
        21        31         0         0
        68        86       -10       -10
        82         2         0         0
        90        30       -10       -10
        70        95         0         0
        75        17         0         0
        20        84      21.9     -26.4
        42        88       6.3     -60.1
        78        33     -29.5      12.8
        53        18      -4.1   -100000
        99        53         0         0
        88        35      82.6   -100000
        81        91       -10       -10
        97        66      79.8     -83.5
        40        87         0         0
        92        83       -10       -10
        76        66      42.3   -100000
        71        50       -10       -10
        46        29       -10       -10
        32        35      -8.1    -101.6
        33        60         0         0
         7        79       -10       -10
        34        58       -10       -10
        76        28       -10       -10
        69         2     127.4   -100000
        31        87       -10       -10
        17        35       -10       -10
        45        85         0         0
        61        42     -29.9        11
        80        70       -10       -10
        48        71       -10       -10
        22        53         0         0
        67        72     101.8   -100000
        50        13         0         0
        62         7         0         0
        63         3       -10       -10
         5        27         0         0
        50       100       -10       -10
        79        53         0         0
        43        45       -10       -10
         1         6      38.8   -100000
        10         2      21.3     -58.4
        31        20         0         0
        50        96       -10       -10
        29         5      -8.4   -100000
        57        79       -10       -10
         9        53       -14      13.8
         3        10      32.9   -100000
        71        63    -120.7   -100000
        90        60       -19   -100000
        15        63       -10       -10
        95        19      -9.4   -100000
        57        41         0         0
        52        59       -10       -10
        29        64     -34.8      24.3
        24        92     -47.2   -100000
        36        38       -10       -10
        59        86      87.7     -89.2
         5        23       -10       -10
        33        39     -22.2   -100000
        47        86       -10       -10
        71        26         0         0
        78        14       -10       -10
        68        34     -27.8      10.6
        56        96         0         0
        12        24       8.6   -100000
        43        33      -0.8      -9.2
         1        83         0         0
        30        49      19.6     -19.9
        16        78       -10       -10
        74        62     -80.7      67.6
        34        65    -123.4   -100000
        73        47         0         0
         3        55      93.7   -100000
        69        11      15.3     -39.3
        89        25     130.3   -100000
         4         1     -88.6   -100000
        77        47         0         0
        32        44         0         0
         8        66      66.8   -100000
