         i         j       pij       pji
         5        14         0         0
        12         6   -1171.5   -100000
        25        12   -1739.1    1097.9
         7        21         0         0
        21         5         0         0
        37        14         0         0
         7        40    -346.6   -100000
         5        24   -1883.3    1828.1
        30        25    2109.8   -2200.6
        50         9       -90       -90
         5        46         0         0
        30        13    2209.7   -100000
         1        19         0         0
        50        26         0         0
        24        26    2493.1   -2522.7
        34         7       -90       -90
        10        42       -90       -90
         7         2       -90       -90
         6        29         0         0
        26        48         0         0
        37        16    -154.5   -100000
        36        42    1401.1   -100000
        20         3       -90       -90
         5         1    -231.9       178
        22         6     388.4    -504.5
        16        35    -955.5   -100000
        15        28    -636.6   -100000
        29        10    2322.3   -100000
         3        19    1759.1   -1816.4
        11        34      -861     664.1
        50        17    -426.4     357.8
        30        37    1707.8   -100000
        16        31       -90       -90
        27        16    1684.6   -100000
        47        11       -90       -90
        12        33         0         0
        11        41       -90       -90
        45        46         0         0
        44        21       -90       -90
        15         2         0         0
        31        43     730.3    -817.4
        49        35         0         0
        18         1         0         0
         8        10         0         0
         4        26    1372.8   -100000
        15        32   -1476.7   -100000
        38        50    1556.3   -1722.3
        23        42    1074.9   -100000
        36        39         0         0
