         i         j       pij       pji
        31        42    -390.5     -27.1
         3        35     -90.9    -746.1
        32         6      26.3    -155.5
        54        37     115.8    -858.7
        79        27    -418.4     303.5
        15        92      -338      28.4
        49        95    -560.9      -199
        19        90    -512.6    -739.6
        84        51    -409.9    -396.1
        85        94    -437.3     430.4
        51        54    -571.9     494.9
        90         2    -743.2      78.3
        28        27    -582.2     114.7
        18        67      13.5    -346.3
        61        65    -697.3     228.5
         6        51       402    -591.4
        53         8      39.9    -163.5
        53        74     140.4    -409.2
        27        42    -134.7      97.7
        43        98      -437    -930.8
        76        94      -150    -127.2
        60        50     221.8    -645.9
        66        41      -382     158.7
        43        87    -611.1    -464.8
        47        37     236.5    -711.8
        63        93     356.9      -732
        35        61    -452.8     389.6
        10        93         9    -292.4
        86        19    -563.3      18.6
        20        95    -358.4    -799.6
        35        24    -189.3    -209.7
        11        19       351      -782
         7         9    -600.8    -311.8
        53        61    -163.9     103.4
        73        14    -776.3    -205.3
        58        70    -130.3      97.8
        89        50    -280.5    -911.9
        45        12     656.6    -861.7
        36        52    -257.5     106.7
        22        32    -340.6       108
        40        64    -165.8     -99.8
        24        58     171.3    -298.8
        71        50    -243.4    -559.8
        72        46       4.7      -539
        96        66    -408.3    -508.8
        78        63      -405    -274.9
        66        78    -384.9      22.4
         9        67    -234.4        91
        30        15    -198.5      64.6
        72        27    -727.8     -87.3
        77        82    -861.2     829.7
        79        49     -90.2    -169.3
        14        29    -155.8     -11.2
        92        39      48.9     -81.1
        68        16      -665      53.2
        34        14     211.7    -792.5
        28        24     -90.7    -283.9
        51        25     -89.5     -46.8
         6        70       241    -268.5
        70        88    -351.9     332.3
        16        31      -197    -250.9
        69        80     478.7    -776.7
        48        15      -840     652.2
        48         7    -332.1    -146.3
         9        20      58.1    -121.8
        98         2    -797.6    -565.1
        38        46    -151.9    -143.8
        29        30      65.3      -120
        40        54    -107.3     -99.5
        41        84     -34.2     -22.2
        65        52      29.4       -37
        10        19    -198.7     -88.7
        29        50     101.9    -522.6
        96        80     250.6    -755.1
        81       100      84.1      -287
        59        48     322.2    -572.4
        54        17     449.3    -497.8
        80        44    -714.8     328.6
        37        83    -611.3    -479.1
        12        38    -672.8     552.3
        55        23    -608.6     367.5
        23        92    -275.8     -29.5
        56        90    -471.4     255.5
        50        57    -576.4      41.3
        86        85      21.3    -105.3
        87        77       374    -387.8
        56        62    -592.2     588.1
        87        97    -332.7    -264.7
        27       100     596.7    -802.6
        33        82     -21.4     -72.3
        21        92    -585.8    -200.2
        48        26    -910.2     411.1
        13        42    -638.7     549.8
         5        59     235.7    -420.4
        75        52    -702.2     141.6
         4       100      50.4    -150.7
        43        91    -696.4    -329.2
         1        38    -479.3    -155.1
        15        99     -39.6      26.6
