         i         j       pij       pji
         9        13       -10       -10
        15         2       -10       -10
         6        12         0         0
         7        24      25.3   -100000
        25         7     -23.8   -100000
         8         5       -10       -10
        11         5     -14.8     -44.9
        10         8       -10       -10
         2        11      -6.7      -4.6
        21        16       9.6     -15.9
        23        16        12   -100000
        17        25     -45.5   -100000
         7         6      -4.3   -100000
         2        12       -10       -10
        22        23     -29.3   -100000
        24        14    -108.4   -100000
        12        16      16.5   -100000
         1         9       -10       -10
         7         1      28.3   -100000
         3        14     -26.5   -100000
        18        23         0         0
         9         4         0         0
        18        20      87.3   -100000
        19        14         8   -100000
