         i         j       pij       pji
        32        42    -118.2      89.6
        26         6       7.9     -36.2
        17        38     -96.9        91
        11        28     -24.3      15.5
        22         1     -43.9      18.3
        32        19     -68.7      31.6
         8         3      11.1     -78.1
        18        23     -39.8      26.9
        16        32      58.1     -83.2
        38        16     -14.5       8.4
         4        39    -121.4      92.7
        18         4      47.4     -70.3
         5        22      50.8     -58.1
        42        31       0.7     -99.7
        33        49      60.7     -76.4
        21        48      29.5     -40.5
        30        47     -12.2      11.1
        13        38     -74.5      64.9
        26         5     -57.6       4.5
         8        13      36.8       -48
        36        14       1.9      -3.7
        46        18     -32.4      26.1
        16         1     -16.1     -22.1
        49        38     -52.1      36.7
        34         6       6.9     -70.3
        43        25       7.6       -53
        29        49      27.8     -62.6
         2        49     -24.5     -66.2
        28        10      60.4       -76
        40        44     -40.5      -6.3
        32         4        11     -25.8
        14        32      71.4    -107.1
         8        12     -74.5     -58.9
        13        44     -92.7      76.1
        46        28     -59.6      52.6
        37         2     -53.1        15
         7        12     -54.4    -115.9
        35        38     -82.8      56.4
        47         1        20       -31
        20        41     -55.1      45.2
        43         5    -107.6      95.8
        50        21      52.3     -96.8
        15        22      40.2       -60
        45         3      90.4    -112.4
         9        50       -83      36.3
        34        27       4.1     -28.2
        35        20     -15.3     -10.2
        21        33     -99.3      97.3
        24        25      12.4     -12.9
