         i         j       pij       pji
         8        24    -268.1   -100000
        19         1     684.7   -100000
        12         5    -669.2   -100000
         3        19      59.4   -100000
        23        25    -648.3   -100000
         5        16     502.2   -100000
        22        23    -152.5   -100000
        17        15       283   -100000
         8        11     104.8   -100000
        13         5    -166.5   -100000
         6         8    -362.5   -100000
        19        14       437   -100000
        13         8     130.4   -100000
        10         9     336.5   -100000
        16        25    -391.2   -100000
        14        24    -620.1   -100000
         8        15      -3.1   -100000
        20        21     933.3   -100000
         9         2     111.1   -100000
        15         9     298.3   -100000
         7        19     -46.8   -100000
        20         2     877.4   -100000
        17        18     158.4   -100000
         4        20    -639.2   -100000
