         i         j       pij       pji
         7        15       7.6   -100000
         3        17       -10       -10
         8        10         0         0
        24        13         0         0
        15         1      59.6     -60.3
        23        22         0         0
        12         6       -10       -10
        20        24         0         0
         9        10         0         0
        20         1         0         0
        12        16         0         0
         8         6     -15.4   -100000
         7        21         0         0
        16         5     -29.7   -100000
         7         2         0         0
        16        23         0         0
        18        19         0         0
        20        25       -10       -10
        25         4       -10       -10
        24        11       -70   -100000
        19        21       -10       -10
        24         3       -10       -10
        23        25      61.6   -100000
        14        21      17.2     -32.1
