         i         j       pij       pji
        10        11       -10       -10
        21         9       -10       -10
        23        10       -10       -10
         6        25       -10       -10
         5        12       -10       -10
         7        13       -10       -10
        24        16       -10       -10
        16         7       -10       -10
        10        17       -10       -10
         1         7       -10       -10
        23        14       -10       -10
         3         6       -10       -10
        24         5       -10       -10
        19        23       -10       -10
        13         6       -10       -10
         2         4       -10       -10
        20         3       -10       -10
        19        22       -10       -10
        12         2       -10       -10
        18         2       -10       -10
        19        15       -10       -10
         9         8       -10       -10
