         i         j       pij       pji
        81        28         0         0
        86        54         0         0
        26        38         0         0
        87        25         0         0
        67        59         0         0
        26        30         0         0
        15         9         0         0
        41        17         0         0
        49        33         0         0
        73        72         0         0
        48        87         0         0
        94        28         0         0
        15        61         0         0
        98        52         0         0
        46        27         0         0
        15        12         0         0
        85        40         0         0
        94        83         0         0
        76        39         0         0
        75        51         0         0
        22        75         0         0
         2        52         0         0
        75        43         0         0
        84        20         0         0
        69        98         0         0
        81        15         0         0
        67         8         0         0
         7        38         0         0
        44        36         0         0
        21        98         0         0
        29        95         0         0
        14        61         0         0
        66         1         0         0
        81        23         0         0
        30        99         0         0
        30        46         0         0
        28        44         0         0
        79         1         0         0
        20         7         0         0
        95        12         0         0
        73        82         0         0
         9        90         0         0
        11        67         0         0
        12        40         0         0
        95        67         0         0
        15        19         0         0
        73        78         0         0
        25        58         0         0
         7        96         0         0
        46        18         0         0
        10        86         0         0
        57         6         0         0
        98        81         0         0
        11        45         0         0
        76        92         0         0
        68        77         0         0
        57        22         0         0
        73        69         0         0
        13       100         0         0
        24        91         0         0
        96        50         0         0
         3         5         0         0
        47        72         0         0
        17        58         0         0
         1         4         0         0
        57         7         0         0
        16        57         0         0
        35        60         0         0
        31        47         0         0
         6        97         0         0
       100        35         0         0
        15        63         0         0
        26        89         0         0
        57        34         0         0
        62        88         0         0
        64        90         0         0
        71        65         0         0
       100        56         0         0
        37        87         0         0
        61        42         0         0
        13        93         0         0
        74        24         0         0
        81        62         0         0
        80        91         0         0
        19        53         0         0
        32        93         0         0
        68        25         0         0
        66        17         0         0
        80        35         0         0
        86        48         0         0
        48        55         0         0
        70        32         0         0
        76        71         0         0
         5        33         0         0
