         i         j       pij       pji
        93        97       -90       -90
        28        27     -65.9   -100000
        24        41         0         0
        98        65       -90       -90
        18        39       -90       -90
        23        97    -431.9      96.2
        81         7       -90       -90
         2        88    -462.5   -100000
        91         1       -90       -90
        35        97     111.4   -100000
        23        36    -140.6   -100000
        28        56       -90       -90
        44        25    -270.8    -127.4
        39        79     234.3    -272.9
        74        66     379.3    -630.6
       100        29       -90       -90
        52        19    -830.8     604.3
        49        22    -439.8     423.8
        71        38     -34.3   -100000
        14        82       -90       -90
        94        73     -33.5     -37.8
        21        64    -562.2     378.4
        54        86      89.4   -100000
        84        36       -90       -90
        32         9     130.7    -295.8
        61        55    -446.4   -100000
        68        30       -90       -90
        85        24       -90       -90
        34        10      -654   -100000
        47        31   -1059.3   -100000
        71        23     627.3   -100000
         6        82      33.8   -100000
        60        21     639.6   -100000
        46        97     131.7      -205
        64        28         0         0
        82        61         0         0
        56        24       -90       -90
        90        46     261.5   -100000
        16        19    -495.7   -100000
        41        55     -11.3     -25.3
        42        18       331   -100000
        78        94     203.2    -240.8
        33        74         0         0
        42        67         0         0
        97        42    -715.8       606
        82       100      23.1     -26.6
        83        93        98   -100000
        14        12       -90       -90
        31        63    -300.6   -100000
        56        71    -183.5     181.1
        26         9    -387.2     385.2
         9        83    -134.2      61.6
        77        66     130.5   -100000
        37        66       -90       -90
        51       100         0         0
        59        70         0         0
        87        25         0         0
        47         1       -90       -90
        89        35    -674.6     337.8
        80        20    -636.2     342.4
        78        92     230.4   -100000
        91        43    -965.3     533.6
        76        37       345   -100000
        62        22       564   -100000
        25        59     184.1    -237.8
        34        82    -122.8     112.6
        99        68       -90       -90
        44        57       -90       -90
        36        30    -143.4   -100000
        72        32         0         0
        77        53         0         0
        99         4         0         0
        76        82     312.7    -427.2
        40         3         0         0
        88        15       -90       -90
        20        83       -90       -90
        96        53      61.5    -109.3
        47        45       -90       -90
        60        98       -90       -90
        19       100       -90       -90
        86        33      -135     125.5
         1        89      76.2    -109.2
        26        58    -478.6   -100000
        18        22     292.7    -294.5
        45         5    -705.7     444.5
        34        69       -90       -90
        73        44         0         0
        17        63         0         0
        70        71    -316.4   -100000
        50         8    -861.4     694.3
        95        90         0         0
        15        83    -131.3      75.5
         7        37     249.9    -458.2
         3        92       -90       -90
        48        69       -90       -90
        97        11    -237.9   -100000
        38        75     289.4   -100000
         8        10         0         0
        56        13      -156     106.6
