         i         j       pij       pji
        17        23    -133.3     101.6
        21         9        31     -66.8
        24        22     -73.6      20.8
        12         2     -68.4      19.7
        11        24        73    -105.9
         6        19     -12.1     -22.4
         7        18     -51.3      26.1
        22         7     -38.9     -16.8
        15         2     -59.8      43.2
        24        15    -105.7      68.6
        16         5      16.4     -17.5
        13        12    -116.6     111.8
         4        15     -41.5      41.4
        22         9     -50.6     -30.1
        16         4      45.1     -72.7
         7        23     -65.6      39.8
        10        14     -85.4      20.7
        11        25     122.8    -135.9
        10        13      19.3     -59.4
         8        25      42.9     -56.5
        22        19     -32.9     -28.4
         1         4     -37.8        16
        18         3      74.3     -76.3
        20        21    -101.2      71.1
