         i         j       pij       pji
         5        13      43.7   -100000
         5        21      36.6   -100000
         6        10      29.1   -100000
        16        24      21.8   -100000
        21        22        21   -100000
        15        10      42.9   -100000
         4        13      -5.7   -100000
        14         5     -41.4   -100000
         7         8      52.8   -100000
        25         8     -51.3   -100000
         4        12       -46   -100000
        10        16       -38   -100000
        15        23      -8.8   -100000
        19        15      27.5   -100000
         2        10      90.6   -100000
         9         1      58.8   -100000
        18        17      82.9   -100000
        24        25      -2.3   -100000
        25         9     -32.5   -100000
         3        22      38.9   -100000
        10         3     -37.3   -100000
        23        18      -8.2   -100000
        11         3      40.7   -100000
         9        20      68.2   -100000
