         i         j       pij       pji
        21        16    -444.6   -100000
        14        30    -151.1     106.2
        16        15       -90       -90
        41        42         0         0
        13         7     109.4    -161.9
        14        13    -584.7     515.4
         9        46         0         0
         6        42    -445.8   -100000
         4         7      -528   -100000
        12        15    -295.9     284.2
        38        30       -90       -90
        19        10       -90       -90
        14        45     -15.2   -100000
        42        44     258.9   -100000
        25         7         0         0
        31        17    -106.1      72.9
        33        18         0         0
        30        48     137.4    -230.6
        30        40    -252.5   -100000
        32         8     251.1   -100000
        26         6         0         0
        11        35    -135.2   -100000
        23        45    -210.9     124.6
        28        48     149.8      -163
        37        19       -90       -90
         3         5         0         0
        23        37    -391.7     321.3
        37        44         0         0
        17        24         0         0
        38        46         0         0
        35        30     144.6    -152.5
         7        18         0         0
        34         2      42.3       -66
         1        49         0         0
        36        28       -90       -90
         3        20       -90       -90
        39         6         0         0
        25         8       -90       -90
        34        23         0         0
         2        22         0         0
        39        12       -90       -90
        43         3         0         0
        27        48     411.8    -448.9
        34        29    -377.6   -100000
        21         1         0         0
        28         3    -510.8   -100000
        49        50       -90       -90
        21        47         0         0
        45        17    -432.2   -100000
