         i         j       pij       pji
        10        24         0         0
         7        19         0         0
        21        17         0         0
        23        10         0         0
         3         5         0         0
         6         4         0         0
         9        17         0         0
         9        18         0         0
         2        12         0         0
         3        11         0         0
        13         6         0         0
         5        23         0         0
         2        19         0         0
         7        13         0         0
        20         5         0         0
        11         1         0         0
         7        22         0         0
        14         5         0         0
        25        12         0         0
        16        20         0         0
         8        21         0         0
        16        15         0         0
