         i         j       pij       pji
        19         3      30.7     -38.8
         7        18      -7.3     -23.2
        10        14    -138.4      55.5
         2         6      60.7     -91.1
        12        19       6.8     -56.9
        17        19     -75.7     -13.8
        14         2     -77.4      -7.8
        18         3       1.5     -20.5
        18        14     -27.6       -35
         8         3      43.9       -85
        23        19       -60      44.5
         6        24      35.8     -95.8
         5        22       0.7     -19.3
        11        17      14.1     -36.3
        10        20     -28.2      -6.8
        20         4     -82.9      29.6
        21        15     -41.9     -86.3
         1        18     -58.1      52.7
         4         9     -57.2       6.2
         5        19      -1.9     -38.2
        10        13      20.7     -46.1
        10        16     -98.8      21.1
         6        21     -52.6      -8.1
        25         4      -8.4     -26.9
