         i         j       pij       pji
        14        17      -159    -904.4
        13         6   -2414.9    1514.1
        12         2     -2410    2366.6
         6         2      -215     192.2
        21        17    -681.7       3.9
        15        12     199.8    -244.1
        22         3     341.7   -1491.9
         9         7   -1155.7     971.9
         1        22    -654.2    -407.7
         4        25     814.4   -1170.8
         3        25       757   -1455.4
        20        11    2393.5   -2713.8
        23         9     827.8    -912.3
        13        20     -2764    2682.7
        20         1     183.9    -336.8
        20        17      2434   -2484.9
         2        23    1573.9   -1691.7
        17         5     -2190    1913.8
        13         8     -12.2    -568.8
        24         5    -384.8    -146.8
         9        19    -792.3     533.4
        10         8       106    -363.3
        18        12       795    -816.4
        18        16     164.6    -562.5
