         i         j       pij       pji
        91        25         0         0
        27         1         0         0
        47        96         0         0
        62        57         0         0
        61        36         0         0
        85        77         0         0
        37        45         0         0
        43        36         0         0
        52        43         0         0
        31        68         0         0
        96        11         0         0
         1        75         0         0
        63        48         0         0
        70        25         0         0
        56        98         0         0
        85        19         0         0
        14        89         0         0
        83        40         0         0
        16        56         0         0
        29        36         0         0
        46        81         0         0
         2        61         0         0
        72        81         0         0
         7        68         0         0
        58        32         0         0
        88        60         0         0
        60        67         0         0
        18        30         0         0
        12        54         0         0
        34        75         0         0
        48        64         0         0
        94        11         0         0
        85         4         0         0
        43        64         0         0
        28        30         0         0
        24        40         0         0
        48        11         0         0
        97        47         0         0
        45        52         0         0
        98        17         0         0
        44         3         0         0
        34        38         0         0
        84         8         0         0
         7        32         0         0
        20         9         0         0
        78        38         0         0
         5        22         0         0
        42        26         0         0
        57        29         0         0
        95        54         0         0
        87        59         0         0
        42        57         0         0
        52        71         0         0
        79        54         0         0
        82         7         0         0
        49        24         0         0
        24        90         0         0
        17        68         0         0
         7        72         0         0
        50        48         0         0
        34        79         0         0
        19        55         0         0
        86        18         0         0
        14        55         0         0
        12        18         0         0
        98        89         0         0
        53         5         0         0
        33        39         0         0
        69         3         0         0
        20        59         0         0
         3        73         0         0
        59         5         0         0
        53        24         0         0
        84         5         0         0
        76        84         0         0
        51        72         0         0
        19        13         0         0
        41        21         0         0
        79        60         0         0
        74        46         0         0
        41        95         0         0
        35        68         0         0
        23        73         0         0
        99        53         0         0
        39         2         0         0
        70        93         0         0
         5         6         0         0
       100        93         0         0
        17        66         0         0
        15        97         0         0
        65        92         0         0
