         i         j       pij       pji
        11         3       -90       -90
         1        25       -90       -90
        16        19       -90       -90
        22        12       -90       -90
        25        18       -90       -90
        19        13       -90       -90
         5        12       -90       -90
        19        18       -90       -90
         9        10       -90       -90
         8         1       -90       -90
         3        12       -90       -90
         2        25       -90       -90
        16        14       -90       -90
        22         2       -90       -90
         3         7       -90       -90
        20        17       -90       -90
        20        15       -90       -90
         3         6       -90       -90
         5        21       -90       -90
        24        13       -90       -90
        17        21       -90       -90
        10         3       -90       -90
        10         4       -90       -90
        23         7       -90       -90
