         i         j       pij       pji
         6        19    1484.2   -100000
        33        31         0         0
        38        36       -90       -90
        28         5     -1452    1440.1
        50        11     434.5   -100000
        31        32       -90       -90
        23        16     169.3      -352
        27         2       -90       -90
        12        16       -90       -90
        21        37   -1955.2   -100000
        39        37       -90       -90
         8        10         0         0
        10        42    -160.7      82.4
         7         3       -90       -90
        17        50       -90       -90
        15        12       -90       -90
        31         9    1925.7   -100000
        47        17       -90       -90
        48         8       -90       -90
        15        45         0         0
        20        24         0         0
        36        23     479.3    -541.4
         4        22   -1157.7   -100000
        29        31       392    -409.8
        46        12         0         0
        20        22         0         0
        35        20    -785.6     719.3
        47        33   -1704.5    1660.5
        43        25         0         0
        36        27   -1103.6     974.8
         5        24       -90       -90
         1        18    1408.3   -1563.7
        48        41         0         0
        44        35   -1009.4   -100000
        25        24     -2529   -100000
        36        24   -1152.8    1106.2
         9        38   -1528.4    1509.9
         6         1       -90       -90
         6        30       -90       -90
         7        49         0         0
        13        47         0         0
        26        14     400.2   -100000
        47         7   -1400.7   -100000
        10        39   -1753.2    1716.1
         9        26   -1152.2    1093.5
        39        32    -478.4     458.9
        44        18       -90       -90
        40        19     146.9   -100000
         1        34     968.4   -1081.8
