         i         j       pij       pji
        17        33    -689.3   -100000
        41        49     117.2   -100000
        38        15     121.1   -100000
        19        43     198.2   -100000
        16        43    -103.6   -100000
        39        40     340.6   -100000
         4        24    -453.4   -100000
        33        35     412.3   -100000
        49         5      10.1   -100000
         1        34    -117.1   -100000
        34        37     -33.9   -100000
        32        39       119   -100000
        48        10     527.5   -100000
        42         9     481.4   -100000
         4        27    -736.4   -100000
        13        15    -315.6   -100000
        22        18     303.3   -100000
        39         3     449.7   -100000
        15         1     602.3   -100000
        30         1     734.3   -100000
        11        36    -335.3   -100000
        34        17    -236.3   -100000
        45        16     492.1   -100000
        27         8     310.5   -100000
        23        13     284.3   -100000
        11        25     576.7   -100000
        38        49     387.5   -100000
        41        39    -254.7   -100000
        31         5     322.5   -100000
        25        34      78.4   -100000
         4        46    -716.1   -100000
        19        29     867.5   -100000
        24        26    -342.2   -100000
        40         4       208   -100000
        15        28      91.7   -100000
        18        38    -459.7   -100000
        10        23    -256.9   -100000
        48        12     233.3   -100000
         2         3      57.7   -100000
        37        44      -788   -100000
        34        21    -505.8   -100000
        14        19    -207.1   -100000
        45         8     110.7   -100000
         8         6      59.8   -100000
         7        19    -283.5   -100000
        47        31    -441.5   -100000
        50        39      20.6   -100000
        21        42    -726.5   -100000
        50        20     232.3   -100000
