         i         j       pij       pji
        78        45     418.2    -438.2
        97        81     578.5   -100000
        12        80         0         0
        66         9    -327.4     284.7
        24       100    -239.6   -100000
        19        78         0         0
        58        39       -90       -90
        30        11       -90       -90
        79        91    -405.6      -367
        47        94       -90       -90
         8        83    -183.2    -257.2
        86        14       -90       -90
         4        91       -90       -90
        40        53      15.5     -60.3
        59        23       -90       -90
        60         5       208   -1011.1
        57        43    -422.4   -100000
        89        82       -90       -90
        96        64         0         0
        65        22     736.9   -100000
        21        78       -90       -90
        25        32    -180.1   -100000
        42        86       -90       -90
         2        90         0         0
        28        24       -90       -90
        72        59       -90       -90
         4         6       -90       -90
        82        22         0         0
        73        77      -369    -403.9
        44        33    -243.7   -100000
        75        72         0         0
        76        61         0         0
         3        37     250.3   -100000
        83        45         0         0
        40         6     352.8   -100000
        29        45       -90       -90
        61        19    -141.1   -100000
        94        82       -90       -90
        49        18    -730.5       420
        74         7       -90       -90
        44        46       -90       -90
        84         8    -136.7   -100000
        35        53         0         0
        48        81      -2.2    -498.1
        31        93       -90       -90
        98        93    -296.9    -485.7
        87        33         0         0
         4        76    -482.3   -100000
        11        27    -161.3   -100000
        47        11    -502.7     354.3
        89        32     183.7   -100000
        52        59       -90       -90
        16        25         0         0
        48        47     717.4   -100000
        67        84     397.7      -412
        93        40    -190.7   -100000
        91        32       105   -100000
        51        82       -90       -90
        61        99     550.9    -561.2
        84        85    -210.8   -100000
        43        58       -90       -90
        78        96       478      -509
        32        86    -870.3     785.5
         5        91         0         0
        58        95       -90       -90
        52         5    -289.2     106.7
        87         3     238.6    -642.9
        84        70     -66.9       8.3
        71        19         0         0
        99        26      38.4   -100000
        45        77      20.9     -46.6
        50        56         0         0
        44        56       3.5     -36.2
        17        10       278   -100000
         7        56      89.5   -100000
        57        45     302.2   -100000
        80        31      -227   -100000
         2        79       -59   -100000
        34        26         0         0
        56        16    -203.8   -100000
        33        24     264.6    -269.1
        20        87         0         0
        49        91    -338.1   -100000
        51        54         0         0
        66        28    -328.5   -100000
        41        14      19.2    -126.4
        17        88     544.8   -100000
        10        97      -358     210.7
        90        55    -290.6   -100000
        70        38      39.2     -89.1
        72        69      75.5   -100000
        27        92     113.2   -100000
        87        63       -90       -90
        13        20      77.8   -100000
        36        92    -300.9   -100000
        93         1     250.6   -100000
        57        62         0         0
        68        12         0         0
         3        15    -253.4   -100000
