         i         j       pij       pji
        18        20         0         0
         2        12         0         0
         7        15         0         0
         8         3         0         0
         5        19         0         0
        21        15         0         0
        18        22         0         0
        18        10         0         0
         9         5         0         0
         2        21         0         0
        14         6         0         0
         3        18         0         0
         9        21         0         0
        17        24         0         0
         5        23         0         0
        14        12         0         0
        24        13         0         0
         1        13         0         0
        22        16         0         0
        12        11         0         0
         4         1         0         0
        24        25         0         0
