         i         j       pij       pji
        38        57     210.8    -218.4
        73        88       -10       -10
        29        57      69.6   -100000
         2        61    -390.7   -100000
        19        86     -21.7   -100000
        41        37         0         0
         2        65    -191.6   -100000
         3        82         0         0
        93         8    -413.9   -100000
        45        64    -133.1    -109.9
        85        40       -10       -10
        91        93     148.7    -528.7
         7        61     233.9   -100000
        54        66    -281.6   -100000
        31        70     824.7   -100000
        51        18         0         0
         9        54         0         0
        65        85         0         0
        49        76    -211.3   -100000
        68        66     -89.5   -100000
        24        79       -10       -10
        74        32      -122   -100000
        86        23       -10       -10
        41         7    -226.1   -100000
        35        51    -298.9   -100000
         5         8     149.2   -100000
        58        59         0         0
        84        53         0         0
        30        29       -30   -100000
        54        76    -135.7     134.7
        66        14         0         0
        72        55       -10       -10
        15        53     176.1    -236.1
        54        80     242.1    -384.1
        23         6     244.6   -100000
        35        95         0         0
        38         1         0         0
        82        24      67.7    -103.6
        21        71         0         0
        84        81      69.7    -101.2
        66        72         0         0
        19        51      33.8    -279.5
        44        98         0         0
        32        84     -68.9   -100000
        21        82      17.8     -24.1
        45         7         0         0
        40        42    -131.2   -100000
        40        39      21.2     -34.8
        76        13     477.6   -100000
        81         3      -192     155.5
        48        96       -10       -10
        20        29         0         0
        74        85    -387.5   -100000
        52        69       -10       -10
         6        61     -48.5      46.6
         5        34         0         0
        69        93     432.2    -499.6
        27        15     174.1   -100000
        46        43       -10       -10
        71        28       -10       -10
        48        57       -10       -10
        51        77       490   -100000
        89        52      -305     168.7
        89         1    -282.3      17.8
        28        80     357.6    -463.7
        68        57    -114.1   -100000
        99        36         0         0
        26        85    -145.7   -100000
        63        53       -10       -10
        64        33    -366.7   -100000
        17        13    -103.4    -116.7
        73        67         0         0
        16        50     194.2   -100000
        78         6         0         0
        83        37       -10       -10
        75        98         0         0
        13        43       -10       -10
        67        57     244.4    -265.7
        50        77         0         0
        12        71       -10       -10
        97        68         0         0
        47        10         0         0
        69        44      83.1    -140.2
        11         3        97   -100000
        62        34      18.8      -102
         6        90         0         0
        94        55       -10       -10
         4        97         0         0
        22        57      34.7    -181.7
        77        70       119    -125.4
        78        47         0         0
         9        60       -10       -10
        24        59     474.3   -100000
        67       100     468.9   -100000
        79        87       -10       -10
        92        25     720.1    -915.8
        96        56       -10       -10
        99        88       -10       -10
        92        75     318.4   -100000
