         i         j       pij       pji
        35        22     527.6   -100000
        49         2      -194   -100000
        19         8      -4.9   -100000
        37        33    -334.9   -100000
        39        18    -384.5   -100000
        41        38     345.7   -100000
        46         1       622   -100000
        25        38     331.7   -100000
        39        50    -404.8   -100000
         1        29    -758.3   -100000
         2        13     -1040   -100000
        50        13    -432.8   -100000
        38        31       431   -100000
        34        15     175.6   -100000
         4        12    -659.2   -100000
        41        21     926.3   -100000
        43         3     134.8   -100000
        31        47     -10.1   -100000
        32        47    1041.6   -100000
        10        15      33.1   -100000
        24         7     420.1   -100000
        36         1     386.8   -100000
        16         2     457.7   -100000
        34        38     361.4   -100000
        40        43    -205.9   -100000
        40        35      58.9   -100000
        33        27       126   -100000
         4         7     141.5   -100000
        13        38       425   -100000
        23        49     296.9   -100000
        37        22     577.9   -100000
        50         7       352   -100000
        48        24    -310.1   -100000
        17         7     758.8   -100000
        37         7    1063.5   -100000
        21        36    -426.1   -100000
        24        44     228.4   -100000
        20        13     -33.9   -100000
         6        37    -573.9   -100000
        14        25    -418.6   -100000
        42        19     236.9   -100000
        30        28      84.6   -100000
         8        29      71.3   -100000
        30        35    -169.8   -100000
        43         9     498.8   -100000
        28        11     -72.2   -100000
        26        21     564.1   -100000
         5        48     164.1   -100000
        45        19    -217.6   -100000
