         i         j       pij       pji
        81       100      57.4    -837.3
        16        53         0         0
         3        99      70.9     -95.7
        56        34       -10       -10
        57        50     -91.1   -100000
        79        74       287    -346.7
        16        75     348.2   -100000
        13        78    -346.7     345.9
        72        12      68.5   -100000
        32       100       363    -463.4
       100        28    -161.8   -100000
        84        77       464   -100000
        56        54    -140.4   -100000
        44        93     532.8   -100000
        43        76       -10       -10
        73        99         0         0
        23        74       455    -563.3
        63        16    -525.7    -157.8
        70        25      61.9   -100000
        21        50       -10       -10
        42        16     284.5      -307
        83        36       -10       -10
         5        10       -10       -10
        78         9     -60.7     -63.1
        80        88      -523     484.6
        82        55      21.2   -100000
        82        58     727.7    -736.4
        53        64    -183.5   -100000
         1         2       -10       -10
        89        87    -110.1    -106.7
        52        23       -10       -10
         2        88       -10       -10
        36        94         0         0
        23        76         0         0
        60        76       -10       -10
        12        91     152.6    -372.9
        49        69    -340.1     224.6
        29        96         0         0
        20        59       -10       -10
        33        13     578.3   -100000
        48        15         0         0
        31        30       -10       -10
        51        93       -10       -10
        98        18    -422.7     252.2
        82        80     639.5   -100000
        22        81       -10       -10
        21        96       451    -608.8
         7        72         0         0
        57        16       -10       -10
         6        86       -10       -10
        51        24    -592.9     -37.9
        11        61       -10       -10
        62        38         0         0
        72        98     357.4   -100000
        78        20         0         0
        67        11       -10       -10
        31        52       -10       -10
        54         1    -463.8   -100000
        15        25     756.4   -100000
        48        95         0         0
        44        73       -10       -10
         9        97         0         0
        44        12         0         0
        26        63         0         0
        32        63    -226.3    -142.3
        92        72       -10       -10
        53        20       -23   -100000
        82        33      -123      48.4
        19        76         0         0
        71        24    -593.1   -100000
         6        90         0         0
        59        71       -10       -10
        35        62    -447.4       396
        35        26         0         0
        81        40     -91.7   -100000
         3        60       -10       -10
        43         6     199.8    -208.5
        77        14         0         0
        31        66     285.2    -396.9
        16        37       -10       -10
        47        95    -570.2     327.6
        79        46         0         0
        68         5       -10       -10
        38        11      -8.6      -6.2
        18        36    -659.8   -100000
        42        48      81.4   -100000
        10        54       -10       -10
        47        69    -585.1   -100000
        69        85         0         0
        16        39    -376.7     329.9
        65        90     440.5   -100000
        27        33         0         0
        90        17       236    -373.8
        89        73     -90.8      30.7
        39         8     360.9    -397.7
        84        41         0         0
        77        47    -235.5   -100000
         6        45    -399.6     398.3
        28         4         0         0
