         i         j       pij       pji
        15        85         0         0
        30        44         0         0
        56         9         0         0
        76        87         0         0
         9        71         0         0
        24         8         0         0
        91        50         0         0
        20        27         0         0
        28        36         0         0
        20        65         0         0
        48        59         0         0
        68         4         0         0
        68         6         0         0
        35        58         0         0
        76        17         0         0
        83        95         0         0
        44        62         0         0
        30        19         0         0
        96         7         0         0
         8        87         0         0
        98        86         0         0
        55        33         0         0
        96        10         0         0
        85        38         0         0
        32         7         0         0
        77        46         0         0
       100        68         0         0
        50        34         0         0
        61        74         0         0
        55        27         0         0
        43        92         0         0
        53        42         0         0
        84        12         0         0
        95        43         0         0
        91        75         0         0
        37        58         0         0
         3        92         0         0
        92        63         0         0
        33        98         0         0
        81        53         0         0
        41        31         0         0
        23        48         0         0
        97        82         0         0
        94        18         0         0
        83        18         0         0
        92        13         0         0
        63        41         0         0
        46        85         0         0
        50        69         0         0
        17        42         0         0
        25        55         0         0
        25        53         0         0
        78        40         0         0
        15        39         0         0
        30        11         0         0
        32        78         0         0
        77        97         0         0
         6        23         0         0
        19        37         0         0
        54        87         0         0
        64        84         0         0
        91        49         0         0
        47         2         0         0
        48        88         0         0
        22        66         0         0
        85        45         0         0
        89       100         0         0
        49         1         0         0
        91        52         0         0
        98         5         0         0
        70        73         0         0
        22        21         0         0
        55        67         0         0
        38        16         0         0
         9        61         0         0
        70        38         0         0
        42        57         0         0
        72        74         0         0
        88        80         0         0
        51        48         0         0
        12        79         0         0
        50        99         0         0
        49        22         0         0
        56        93         0         0
        26       100         0         0
        18        90         0         0
        29        72         0         0
        77        14         0         0
        21         2         0         0
        77        60         0         0
        36        12         0         0
