         i         j       pij       pji
        13         4   -1029.4   -100000
        46         5   -1349.1   -100000
         6        45    1653.9   -100000
        25        10     278.4   -100000
        16         3    1323.1   -100000
        42         4   -1254.3   -100000
        16        47     630.8   -100000
         2        18     145.5   -100000
        16        10     926.6   -100000
        18        44     251.6   -100000
        42         8     338.9   -100000
        38         3    2063.3   -100000
        33        11    1994.2   -100000
        42        35   -1768.8   -100000
         7         2   -2091.1   -100000
        30        45    1694.9   -100000
        11        12   -1636.5   -100000
        34        13    1652.5   -100000
         9        30   -2302.5   -100000
         6        47    2071.3   -100000
        15        38   -1284.5   -100000
        26        25    -740.3   -100000
        44         9     587.8   -100000
         6         1    -241.4   -100000
        29         9    2328.7   -100000
         5        40    -313.2   -100000
        36         2   -1047.2   -100000
        29         8    2645.5   -100000
         1         5     721.2   -100000
        21        43    1135.4   -100000
        31        36     304.6   -100000
        22        39    1217.7   -100000
        28        30   -1129.2   -100000
        13        32     -1701   -100000
        13        23      -712   -100000
        14        29   -1726.2   -100000
        30        22    -390.3   -100000
        24        40    1739.6   -100000
        10        19    -908.1   -100000
         3        49   -2173.2   -100000
        48         4    1220.7   -100000
        20        18    1654.9   -100000
         7        43     559.4   -100000
        23        27   -1516.1   -100000
        41        27   -2634.6   -100000
        27        50    1856.1   -100000
        46        11     734.5   -100000
        14        17     281.7   -100000
        37        12     730.5   -100000
