         i         j       pij       pji
        45        21     202.7    -456.9
        97        88    -578.3      81.1
        93        74     194.3    -447.6
        82        85      31.8    -515.1
         2        42     363.8      -490
        27        34    -169.8     117.9
        84        77    -227.8    -165.6
        59         6     284.9    -288.4
        78        37    -151.2       6.5
        24        59    -148.6        19
        32        41    -678.6     -12.5
        78        86    -412.2     321.6
        79        93     172.5    -335.4
        26        44      -393     -82.7
        73        84     167.2    -225.2
        41         9     172.7    -430.8
        46        57      -129    -228.5
        15        81    -231.1       -32
        22        56     -22.6    -505.8
        93        49    -363.3     251.9
        41        51    -253.6    -399.3
        94        76    -187.3     -74.7
        59        33     -12.1     -72.7
        93        90    -262.2     152.2
        98        17     510.1    -861.7
        50        99    -528.9       132
         6        76    -433.2       395
        76        49     151.8      -257
        99       100      89.5    -403.4
        75        16    -415.9     295.5
       100        14    -177.3     -74.3
        56        10    -411.8     328.1
        26        40    -482.4      79.4
        90        78     155.1    -157.3
         5        69    -473.2    -165.1
        18        70     -78.5    -338.7
        69        86    -242.1    -279.4
         1        74     346.5    -390.9
        39        20     734.3    -746.2
        29        24     247.6    -336.1
        63        15      -7.8    -319.3
        44        82    -280.2    -299.8
        79        67    -333.8     -11.7
        35        88    -445.9      85.7
        35        64      -457     106.3
        63        58      -7.8    -310.9
         3        14     159.1    -175.9
        72        95      -335      -294
        51        58     -24.6     -82.4
        57        87       1.5       -87
        54        71    -360.7     -30.7
        10        25     132.8    -401.9
        88         4     652.9    -702.1
        61        47    -249.7    -222.6
        12        90      -111      -457
        40        35    -115.1    -283.6
        39        96     518.3    -715.9
        83        68        59    -493.7
         7        73    -193.9     157.1
        68        11    -866.2     187.1
        64        55      65.7    -472.6
        21        87      81.7      -112
        22        99      -269     199.3
        85         9    -210.1     -42.7
        56        51    -368.2     128.4
        19        26     157.4    -577.5
        98        58     271.4    -631.2
        68        10    -496.8     129.6
        16        21      64.1    -217.1
        59        19    -134.1    -226.6
        18        93     258.8    -356.6
         1        28       -52     -29.3
        47        96     398.4    -740.9
        21        67      -259     -31.7
        84         9     -61.6       8.5
        40        13       588    -620.5
        65        29    -137.4        -4
         8        13     267.5    -289.5
        81        20     516.3    -531.8
        86        48       351    -475.2
        56        38    -633.6     529.9
        75         2    -282.1       197
        62         4     326.8    -394.5
        93        71    -393.5     211.2
        61        72    -488.8     283.3
        53        36      -446     -92.8
        10        36     -78.4        56
         2        66     462.9    -520.8
        25        27      41.4     -44.3
        23         1     -53.6     -28.6
        73        89      25.5       -30
        43        54    -184.8       -85
        39        92     314.6    -337.9
        62        30    -386.8     116.3
        51        31    -208.4      81.6
        52        49    -172.9     -48.5
        80        46     152.3    -175.1
        48        91      37.4    -307.1
        46        60     173.7    -255.9
