         i         j       pij       pji
        34        20         0         0
        37         7         0         0
        38         7         0         0
        38         3         0         0
        14        23         0         0
         9         2         0         0
        26         1         0         0
        35        43         0         0
        40        48         0         0
        44        27         0         0
         8         5         0         0
        49        26         0         0
        21        25         0         0
        11        14         0         0
        18        22         0         0
        23        47         0         0
         4        31         0         0
        28        39         0         0
         1        50         0         0
        48         5         0         0
        37        41         0         0
        17        24         0         0
        24        25         0         0
        37        40         0         0
        44        11         0         0
        13        24         0         0
        12         5         0         0
        35        32         0         0
        12         2         0         0
        16        29         0         0
        39        36         0         0
        49         6         0         0
        45        42         0         0
        15        44         0         0
        35         4         0         0
        36        33         0         0
        46        10         0         0
        16        19         0         0
        30        16         0         0
        10        20         0         0
        45        36         0         0
