         i         j       pij       pji
        66        82         0         0
         8        12         0         0
        15        42         0         0
        21        66         0         0
         9         5         0         0
        41        66         0         0
        59        68         0         0
        67        36         0         0
        67        76         0         0
        49        99         0         0
        77        25         0         0
        82        91         0         0
        66         2         0         0
         8        49         0         0
        27        96         0         0
       100        72         0         0
        52        10         0         0
        36        64         0         0
        84        82         0         0
        32        46         0         0
        98        64         0         0
        31        26         0         0
        88        65         0         0
        53        44         0         0
        30        23         0         0
         4        34         0         0
         3        91         0         0
        44        38         0         0
        21        56         0         0
        19        40         0         0
        62        22         0         0
        17        58         0         0
        33         1         0         0
        95        86         0         0
        34        52         0         0
        53        19         0         0
        86         8         0         0
        78        57         0         0
        26        51         0         0
        99        44         0         0
        90         5         0         0
        33        30         0         0
        38        16         0         0
        32        10         0         0
        73        88         0         0
        88        98         0         0
        72        37         0         0
        47        33         0         0
        50        62         0         0
        26        29         0         0
        27        61         0         0
        35        34         0         0
         6        83         0         0
        38        18         0         0
        80        25         0         0
         7        88         0         0
         1        71         0         0
        67        23         0         0
        12        85         0         0
        54        70         0         0
        79        82         0         0
        52        60         0         0
        33        42         0         0
         5        83         0         0
        50         9         0         0
        30        11         0         0
        43        82         0         0
         8        78         0         0
        75        22         0         0
        45        11         0         0
        97         4         0         0
         2        20         0         0
        13        97         0         0
        81        38         0         0
        27        64         0         0
        37        54         0         0
        15        14         0         0
        48        14         0         0
        60        59         0         0
        14        39         0         0
        79        94         0         0
        92        23         0         0
        28        96         0         0
        31        50         0         0
        77        58         0         0
        43        87         0         0
        63        14         0         0
        69         5         0         0
        54        80         0         0
        59        24         0         0
        55        68         0         0
        89        17         0         0
       100        74         0         0
        93        89         0         0
