         i         j       pij       pji
         9        19   -1043.9   -100000
        23        26    -131.9   -100000
        24         2     537.6   -100000
        12        15      52.3   -100000
        50        32   -1369.7   -100000
         2        30    -160.7   -100000
        26        36     -98.5   -100000
        44        43     773.3   -100000
        40        32     -1222   -100000
        48        24   -2927.8   -100000
        27        34     967.7   -100000
        11         6   -2510.8   -100000
        44        30   -1640.1   -100000
        30        41    2090.4   -100000
         5        42    2765.2   -100000
        38        45    1355.2   -100000
        34        21    1241.9   -100000
        44        16     408.4   -100000
        38         5    -764.2   -100000
        31         4     627.8   -100000
        38        31      -319   -100000
        15        43     608.3   -100000
        17        36   -1261.2   -100000
        23        18    -193.8   -100000
        43        22   -2233.7   -100000
        48        10      -278   -100000
        43         1   -2399.8   -100000
         8        16    -916.8   -100000
        15        11     575.9   -100000
        18        32   -1336.4   -100000
        47        29   -2154.9   -100000
        38         3     535.8   -100000
        20        47    1902.1   -100000
        46        44    -475.6   -100000
        17        25     416.4   -100000
         9        25    -128.4   -100000
        19        41       858   -100000
        33         3     659.1   -100000
        44         4    -374.4   -100000
         6        49     106.9   -100000
        37        30    -632.6   -100000
        39        28      56.7   -100000
        24        29     467.1   -100000
        13         4   -1202.2   -100000
        11        35   -1457.6   -100000
        14         4    -921.4   -100000
         7         9      1778   -100000
        35        28     302.6   -100000
        27         1       155   -100000
