         i         j       pij       pji
        14         5       -10       -10
         6         5       -10       -10
        20         6       -10       -10
        11        18       -10       -10
         1        14       -10       -10
        14        16       -10       -10
         1         3       -10       -10
         1         8       -10       -10
         7        22       -10       -10
        15        18       -10       -10
        15        21       -10       -10
        12        20       -10       -10
         3         2       -10       -10
         7         6       -10       -10
        13        10       -10       -10
        12         9       -10       -10
        24        14       -10       -10
        18        19       -10       -10
        23        18       -10       -10
         4        17       -10       -10
        17        13       -10       -10
