         i         j       pij       pji
        39        47     -33.3   -100000
        22        42    -451.4   -100000
        46        42    -416.3   -100000
        35        41    -276.1   -100000
        17        39    -818.6   -100000
        50        41    -117.4   -100000
        29        22     109.8   -100000
         3         6     -92.5   -100000
        25        13     -57.1   -100000
         3        22     -64.4   -100000
        38        12       0.5   -100000
        26        33    -569.4   -100000
        17        31    -497.1   -100000
         2        15     106.1   -100000
        23        34       348   -100000
        14        33       -70   -100000
         4        23    -462.3   -100000
        12        48     449.3   -100000
        26        29    -461.5   -100000
        47         6     260.7   -100000
        11        33    -155.2   -100000
        43         1     198.6   -100000
        25        11    -551.7   -100000
        42        12     167.4   -100000
        27         4     588.6   -100000
         9        36    -387.8   -100000
        24        40      -425   -100000
        20        36    -489.3   -100000
        48        32    -233.7   -100000
         5        14     147.3   -100000
        39        24     482.1   -100000
        40         2    -289.3   -100000
        34        22    -136.5   -100000
        50        33    -419.8   -100000
        50         8    -196.4   -100000
        20         1       247   -100000
        41        36    -321.6   -100000
        10        18    -223.1   -100000
        44        26     417.6   -100000
        21        18      62.6   -100000
        30        12      83.2   -100000
        30         7      80.2   -100000
        16        30     -52.8   -100000
        29        18      69.9   -100000
         4        45      -673   -100000
        37         1     197.8   -100000
        28        49       279   -100000
        28        18     279.7   -100000
        19         2    -156.5   -100000
