         i         j       pij       pji
         9        19    -111.6   -100000
        10        19         0         0
        13        25       -10       -10
        22        23         0         0
        17         4     772.6      -790
         2         7       -10       -10
         3        18    -905.9     -38.1
        13         3         0         0
         4         6    -503.9       432
        19        24    -376.7    -150.5
        12         9    -526.2     -68.4
         3        23    -649.6   -100000
         6        15    -210.2     124.5
         2        18       -10       -10
        20        13         0         0
        18        14       -10       -10
        16         5     335.1   -100000
        16         4     825.9   -100000
        12         6         0         0
        11         2         0         0
        12        21       -10       -10
         8        21       -10       -10
        21        11         0         0
        15         1    -248.5     -61.9
