         i         j       pij       pji
        84         9       2.3   -100000
        79        49      53.5   -100000
        52        22     439.7   -100000
        63        40     289.9   -100000
        47        42    -647.7   -100000
        98        16     392.2   -100000
        50        31     566.2   -100000
        17        48      30.6   -100000
        11        44      53.8   -100000
        70        81     -55.5   -100000
        39        64     210.6   -100000
        54        42    -668.9   -100000
         9        45    -430.5   -100000
        98        78      53.2   -100000
        91        24    -845.9   -100000
        59        32     607.5   -100000
        89        84    -220.9   -100000
        88        12     360.9   -100000
        84        30    -222.1   -100000
        64        58     569.5   -100000
        80        46    -797.4   -100000
        73        82     112.7   -100000
        18        40    -227.3   -100000
        76        90     150.4   -100000
        81        32    -237.5   -100000
        34        90      54.9   -100000
        37        31     643.6   -100000
         8        18    -228.8   -100000
        42        53     316.2   -100000
        44        17     473.7   -100000
        85        96     524.6   -100000
        32        68    -122.8   -100000
        35        37    -562.9   -100000
        48        13      -190   -100000
        38        93     647.2   -100000
        52        78     314.2   -100000
        49        15    -311.7   -100000
        81        74     -93.2   -100000
        76        15      -7.5   -100000
        49        59    -200.8   -100000
        82        95     149.4   -100000
        61        26    -715.7   -100000
        21        12     669.5   -100000
        72        59    -520.7   -100000
        65        97     191.9   -100000
        89       100       581   -100000
         2         1     432.2   -100000
        98        33     172.3   -100000
        11         9     223.3   -100000
        76         9       144   -100000
        10        90     138.4   -100000
        90         2    -190.4   -100000
        38        22       204   -100000
        75        46     536.8   -100000
        23        10       316   -100000
        68        98    -700.2   -100000
        38        99     147.1   -100000
        74        96      53.5   -100000
        83        58     -42.7   -100000
        95        22     -42.5   -100000
        84        24    -341.2   -100000
        42        81       804   -100000
        51         9    -434.9   -100000
        48        37    -801.4   -100000
        51        46     846.7   -100000
        86         4     706.5   -100000
        32        41    -424.5   -100000
        54        66     197.3   -100000
        77        97    -395.2   -100000
        30        60     570.7   -100000
        65        26     305.6   -100000
        15        94       593   -100000
        60        25     -81.8   -100000
        63        77     627.1   -100000
         3         8     321.6   -100000
        70         3    -738.4   -100000
        83        80     376.2   -100000
        12        62    -695.4   -100000
        26         7    -718.4   -100000
        55        67    -362.5   -100000
        55        93     226.9   -100000
        20        16       838   -100000
        20        57     416.5   -100000
         5        92         2   -100000
         5        93     826.5   -100000
        71        40       301   -100000
        27        54      20.2   -100000
        29        30    -273.8   -100000
        72        19       337   -100000
        47         4     571.8   -100000
        48        43    -470.7   -100000
        69        14      74.8   -100000
         8        88     -30.6   -100000
        29        36    -113.3   -100000
        87        84      79.9   -100000
         6        89     -44.1   -100000
        80        69    -657.7   -100000
        28        45       -50   -100000
        56        78    -296.6   -100000
