         i         j       pij       pji
        32         4       -90       -90
        20        47       -90       -90
        49        40       -90       -90
         8        33       -90       -90
         7        34       -90       -90
        17        41       -90       -90
        42        19       -90       -90
        37        19       -90       -90
        33        20       -90       -90
        38        14       -90       -90
         4        12       -90       -90
        46        38       -90       -90
        16        40       -90       -90
         4        29       -90       -90
        49        23       -90       -90
        25        50       -90       -90
        14        34       -90       -90
        32        22       -90       -90
        17        49       -90       -90
        15        10       -90       -90
        19         1       -90       -90
        29         2       -90       -90
        21        18       -90       -90
        17        24       -90       -90
        30        14       -90       -90
        19        28       -90       -90
        42        24       -90       -90
        23        18       -90       -90
        23        36       -90       -90
         3         5       -90       -90
         5        24       -90       -90
        31        23       -90       -90
        24        44       -90       -90
        15        26       -90       -90
        39        27       -90       -90
        26        43       -90       -90
         6        41       -90       -90
        38        12       -90       -90
        47        11       -90       -90
        26        19       -90       -90
        11        48       -90       -90
        39        17       -90       -90
        35        28       -90       -90
        45         8       -90       -90
        35        50       -90       -90
        13        43       -90       -90
        21        32       -90       -90
         9        20       -90       -90
        25         9       -90       -90
