         i         j       pij       pji
         9        21         0         0
        13        14         0         0
        12        10         0         0
        21        17         0         0
        15         9         0         0
        25        15         0         0
        19        12         0         0
         8        14         0         0
        24        22         0         0
        10        17         0         0
        15        14         0         0
        23        18         0         0
         8        16         0         0
         1         2         0         0
        22        20         0         0
         1         6         0         0
        22         5         0         0
         3         7         0         0
        23         4         0         0
