         i         j       pij       pji
        79        14      20.2   -100000
        19        75    -104.1     -39.3
        43        83       -10       -10
        21        98         0         0
        81        37         0         0
        79        54      14.2     -60.7
         9        26         0         0
        95         4      74.5   -100000
        39        50      99.9   -100000
        67        19       -10       -10
        53        61      32.2     -44.3
        71        90       -49    -133.2
        61        10       -10       -10
        14        75    -148.5     105.8
        37        49       0.3   -100000
        31        82         0         0
        40        48         0         0
        12        52       3.4   -100000
        69        63         0         0
        10        87     -27.4   -100000
        48        47      35.4   -100000
        73        42         0         0
         8        79         6   -100000
        71        23       -48     -24.6
        23        93     114.4      -115
         2        32    -154.1       5.9
        59        83       -10       -10
        95        66      50.1    -115.9
        92        66     113.8    -116.5
        60        89         0         0
        79        42     -66.7   -100000
        86         4         0         0
        41        57       -10       -10
        12        31         0         0
        18         8       -10       -10
        34        36       -10       -10
         7        42       -10       -10
        99        51         0         0
        38        32         0         0
        43        96         0         0
        26         4      42.6   -100000
        78        24      39.8     -76.2
        47        32     -79.5      30.9
         9        71      19.6   -100000
        64        91      35.4   -100000
        56        74       -10       -10
        93         5       -10       -10
        35        52      -0.3   -100000
         8        83      23.7     -59.9
        74        59         4   -100000
        91        61     -63.6      40.6
        21        15         0         0
        85         6      -1.8   -100000
        61        28       -10       -10
         5        85     -84.3      79.3
        74         3    -125.8     100.1
        60        36       -10       -10
        81        51       3.3   -100000
        62        15         0         0
        57        95       -10       -10
        25        24     -32.4   -100000
        51         1       -10       -10
        90        67         0         0
        12        23         0         0
        88        46         0         0
        73        49      81.8   -100000
        94        27         0         0
        23        29       -10       -10
        81        89       -10       -10
        25        43       -10       -10
        12        40       -10       -10
        36        88      24.2     -26.7
        72        50       -10       -10
        17        87     -66.9      61.6
        16        99      35.6   -100000
        52        20         0         0
        94        13       125   -100000
        61        56       -10       -10
        84        87         0         0
        76        98       -10       -10
        94        89         0         0
        54        50         0         0
        87        65     -48.6   -100000
        34        21       -10       -10
        66        69     -82.2        77
        97        49      44.4   -100000
        10       100      58.3     -64.8
        78        11       -38      24.8
        65        30       -10       -10
        58        82    -123.5     122.8
        80        90      -100   -100000
        69        45       -10       -10
        75        33         0         0
        98        22      40.5   -100000
        49        55        19   -100000
        40        68      57.7   -100000
        56        77      43.2     -48.5
        88        44         0         0
        70        36    -143.8     142.1
