         i         j       pij       pji
        29        24      18.2     -32.1
        89        36    -129.2   -100000
        31        34        45     -52.9
         5        28       -10       -10
        90        15       -10       -10
        34        62    -103.4   -100000
        19        67      -4.8   -100000
        67        81         0         0
        93        69    -149.3   -100000
         1        61         0         0
         7        66       5.5   -100000
        45        17     124.7    -130.9
        86        20      38.3   -100000
        91       100        -6     -98.9
         3        42       -10       -10
        21        22      -4.6     -63.2
        20        78       -10       -10
         1        97       -10       -10
        16        41      -2.2   -100000
        52         1     -22.8      12.5
        85         1       -10       -10
        46        55      32.7   -100000
        75        89       -10       -10
        39        83      54.1     -68.6
        39        43     109.7    -125.4
        63        11         0         0
        16        68      50.4   -100000
        60        70         0         0
        60        96       -10       -10
        14        16      56.6   -100000
         4        67     -73.2      62.5
        41        50       -10       -10
        84        29         0         0
        46        11     -56.2      47.7
        15        72     -49.4      -4.1
        36        87        27     -31.8
        89         7       -10       -10
        57        73         0         0
        98        74      19.2     -28.9
        36        26      72.8   -100000
        96        56       -10       -10
        71        85       -10       -10
         3        55      92.7     -93.9
        93        60       -10       -10
        50        59         0         0
        17        24     -25.1      20.5
        86        93     101.2   -100000
        16         3     -48.1      47.4
        27        30         0         0
        66        13         0         0
        77        13     -11.7   -100000
        12        30         0         0
        62        23       -10       -10
        29        25        63   -100000
        34        47     -11.2   -100000
        28        36       -18       1.9
        71        51       -10       -10
        35        55       -10       -10
        48        69       -10       -10
        18        61         0         0
        45        97        70       -70
         5        40       -10       -10
        60        37     -36.2   -100000
        50        40         0         0
        65        23      44.6     -49.6
        53        80       116   -100000
        44        86       -10       -10
        49        83         0         0
        38        23     -12.3      11.2
        81        63       -10       -10
        87        73       -25      14.1
        88         4      81.2     -93.8
        86        64         0         0
        21        84       7.6     -29.9
         9        63     -39.9      29.3
        58        17       -10       -10
        83        57     -37.9        32
        99        42     -27.2      25.6
        86        51         0         0
        95        34       -10       -10
        40        95       -10       -10
        18        66      48.6     -51.7
        90        76       -10       -10
        19        76       -10       -10
         8         2       -10       -10
        47        94      51.7   -100000
         8        75      61.1   -100000
        79        50       2.9   -100000
        53        40         0         0
        47        98      38.1     -38.8
        54        82         0         0
        98        10       -10       -10
        32        67     -39.5        39
         2        33       -26      21.1
        30        93      92.3   -100000
        30        82      42.2   -100000
        71        91       -10       -10
        26         6     -64.2   -100000
        92        72       -10       -10
