         i         j       pij       pji
        44        38       -90       -90
        12        48       -90       -90
        46        28       -90       -90
         7         8       -90       -90
        10        15       -90       -90
        14         6       -90       -90
        25        41       -90       -90
        37        30       -90       -90
        10        37       -90       -90
        39        16       -90       -90
        29        38       -90       -90
        36         4       -90       -90
        17        43       -90       -90
        13        33       -90       -90
        37         8       -90       -90
        23        22       -90       -90
         3        32       -90       -90
        26        14       -90       -90
        14        16       -90       -90
        21        22       -90       -90
         8        27       -90       -90
         7        17       -90       -90
        37        40       -90       -90
        20        24       -90       -90
         9        38       -90       -90
        37        16       -90       -90
        50         1       -90       -90
        23         2       -90       -90
        36         6       -90       -90
         3        42       -90       -90
         5        24       -90       -90
        24        31       -90       -90
        25        33       -90       -90
        14         9       -90       -90
        48         4       -90       -90
         7        41       -90       -90
        24        18       -90       -90
        19        18       -90       -90
         8        31       -90       -90
        32        43       -90       -90
        11        28       -90       -90
        45        36       -90       -90
        46        44       -90       -90
        35        25       -90       -90
        34        50       -90       -90
        23        50       -90       -90
         6        23       -90       -90
         1        49       -90       -90
        47        49       -90       -90
