         i         j       pij       pji
        36        33     124.7   -100000
        34        10       573   -100000
        24         8    -389.8   -100000
        26        30     210.8   -100000
        27        49     312.1   -100000
        13        39    -640.1   -100000
        11        41      85.7   -100000
        34        14      14.9   -100000
        42        26     -58.2   -100000
        50        46      24.4   -100000
         1         8    -538.7   -100000
        12        39     130.9   -100000
        20        31       296   -100000
         1        41     323.3   -100000
        49        25     273.4   -100000
        40        14    -244.2   -100000
        30        13     443.9   -100000
        45         3     701.6   -100000
        20        42    -432.8   -100000
        17        12    -704.3   -100000
        47        14      49.8   -100000
        13        25      13.6   -100000
         2        46      32.2   -100000
        20        46      20.4   -100000
        15        47     -99.6   -100000
        22        36    -351.6   -100000
        40        17       345   -100000
         2        36    -227.6   -100000
        45        30     161.1   -100000
         6         7     206.5   -100000
        19        41     207.9   -100000
        19        31     636.5   -100000
        37        38     114.8   -100000
        20        16      -210   -100000
        12        44     226.3   -100000
        26         6     316.9   -100000
        46        38      -310   -100000
         9        49     106.5   -100000
        32        22    -266.4   -100000
        18        44     -58.2   -100000
        28         1      15.4   -100000
        17        21      19.7   -100000
        28         5     190.3   -100000
        45        23     221.1   -100000
        35        26    -702.7   -100000
        29        30      80.5   -100000
        48        16    -175.9   -100000
        37         4     481.5   -100000
        43        31     317.1   -100000
