         i         j       pij       pji
         3         9         0         0
         5        11       -10       -10
        12         6         0         0
        18         8         0         0
         2        11    -189.4       -59
        15        16         0         0
        18        17     362.9   -100000
         9         1        66    -143.4
        21        15         0         0
         9        13     236.9   -100000
        18         7     182.9   -100000
        14        16       -10       -10
         6         8         0         0
         2        16         0         0
        11         3     116.7    -204.3
         7        16      -375     360.2
        19        11         0         0
        10        15      -314   -100000
        25        24         0         0
        16        24     615.2   -100000
        23        15         0         0
        22         6      24.8     -32.9
        20         7         3     -17.4
         2         4     485.6   -100000
