         i         j       pij       pji
         9        17    -380.7   -100000
        14         8    -252.3   -100000
        13        25     135.2   -100000
        13         2     844.6   -100000
        14        15    -188.6   -100000
        15        23     322.2   -100000
         1        16      -508   -100000
        13        12     661.2   -100000
        22        20    -778.8   -100000
        22        18    -615.8   -100000
        13         4     731.7   -100000
         6        17    -526.4   -100000
        13         6     575.6   -100000
        14        21     384.1   -100000
         4        22      47.4   -100000
         1        14    -378.6   -100000
        15         5    -347.2   -100000
        13        24     113.7   -100000
        10        19     -62.7   -100000
        15         6     239.2   -100000
        22        19    -487.6   -100000
        18         7     -46.5   -100000
         3        12     536.5   -100000
         5        11     437.6   -100000
