         i         j       pij       pji
        23        48         0         0
        18        20         0         0
        44        15         0         0
         2        10         0         0
        12        19         0         0
        31        42         0         0
         7         9         0         0
        22         3         0         0
        22        37         0         0
        20        37         0         0
        34        36         0         0
        46         5         0         0
        25        32         0         0
         1        45         0         0
        14        41         0         0
         8        12         0         0
         5        28         0         0
        47        48         0         0
        28         8         0         0
        50         2         0         0
        14         5         0         0
        47        27         0         0
        48        26         0         0
        29         5         0         0
        16        21         0         0
        33        31         0         0
         3        49         0         0
        29         9         0         0
        34        31         0         0
        16        26         0         0
         6         3         0         0
        46        40         0         0
        46        22         0         0
        17        32         0         0
        45        11         0         0
        27        30         0         0
        15        30         0         0
        13         4         0         0
         4        24         0         0
        45        39         0         0
        35        13         0         0
        35        43         0         0
