         i         j       pij       pji
        13        24       -10       -10
        21         9       -10       -10
         5         6       -10       -10
        12        25       -10       -10
         2        12       -10       -10
         5        21       -10       -10
         3        14       -10       -10
        17        13       -10       -10
         8        18       -10       -10
        22         1       -10       -10
        19        15       -10       -10
        11         7       -10       -10
        11        14       -10       -10
         6         8       -10       -10
        23        14       -10       -10
        25        17       -10       -10
        12         4       -10       -10
        15         7       -10       -10
         9         1       -10       -10
        16        15       -10       -10
        20        10       -10       -10
