         i         j       pij       pji
        95        90       -10       -10
        43        41       -10       -10
        41         8       -10       -10
        61        43       -10       -10
        65        74       -10       -10
        54        12       -10       -10
        20        83       -10       -10
        30        45       -10       -10
        80        60       -10       -10
        63        52       -10       -10
        71        17       -10       -10
        50        98       -10       -10
        71        25       -10       -10
        45        69       -10       -10
         3        92       -10       -10
        58        98       -10       -10
        32        99       -10       -10
         5        44       -10       -10
        41        21       -10       -10
        69        46       -10       -10
        85        41       -10       -10
        28        14       -10       -10
        85       100       -10       -10
        34        64       -10       -10
        59        48       -10       -10
        67        82       -10       -10
        64        69       -10       -10
        79        87       -10       -10
        93        75       -10       -10
        55        47       -10       -10
        66        13       -10       -10
        44        50       -10       -10
        63       100       -10       -10
        45        55       -10       -10
        73        14       -10       -10
       100        57       -10       -10
         6        79       -10       -10
        22        90       -10       -10
        78        55       -10       -10
         6        88       -10       -10
         3        24       -10       -10
        69        18       -10       -10
        44        99       -10       -10
        56        88       -10       -10
        74        11       -10       -10
        35        91       -10       -10
        75        30       -10       -10
        92        37       -10       -10
        82        37       -10       -10
        91        54       -10       -10
         2        42       -10       -10
        62         7       -10       -10
        48        49       -10       -10
        89         5       -10       -10
        36        43       -10       -10
        81         5       -10       -10
        61        24       -10       -10
         3        16       -10       -10
        12        28       -10       -10
        78        98       -10       -10
        19        52       -10       -10
        27        10       -10       -10
        40        60       -10       -10
        98        82       -10       -10
        65        99       -10       -10
        23        26       -10       -10
        57        94       -10       -10
        42        49       -10       -10
        91        41       -10       -10
        65        88       -10       -10
        19        76       -10       -10
        16        48       -10       -10
        73        86       -10       -10
       100        51       -10       -10
        73        27       -10       -10
        95        47       -10       -10
        53        52       -10       -10
        60        20       -10       -10
        53        77       -10       -10
        36        23       -10       -10
         4         3       -10       -10
        19        25       -10       -10
        83        23       -10       -10
        48        66       -10       -10
        70        52       -10       -10
        27        97       -10       -10
         7        49       -10       -10
        97         9       -10       -10
        72        52       -10       -10
        22        15       -10       -10
        96        39       -10       -10
        29        83       -10       -10
        33        56       -10       -10
        38        16       -10       -10
        39         2       -10       -10
        31        91       -10       -10
         1        60       -10       -10
        84        66       -10       -10
        56        68       -10       -10
