         i         j       pij       pji
        16        14       -90       -90
        16        10         0         0
        17         5         0         0
        24         3         0         0
        17         3         0         0
         8        13         0         0
        14        23     225.5   -100000
        21         2         0         0
         1        16    -496.7     464.3
        22         1     122.2   -100000
         2        10    -434.6     394.8
         2         4       -90       -90
        11         6       -90       -90
        13         2     680.8   -100000
         6        23       -90       -90
         4        20    -806.5     628.7
        20        18       -90       -90
         8         9     456.6   -100000
         7        20         0         0
        23        12       -90       -90
        18        17         0         0
        15        16      -3.6     -39.3
         2        25    -716.7   -100000
        21        19    -670.4     537.2
