         i         j       pij       pji
        17        24     -14.9     -16.6
        46        14     -99.3        65
        31        14     -36.9       0.6
         7        28      -1.7      -0.8
        50        11     -80.1      37.2
        42        11       5.9     -27.3
        12         7      -4.4         1
        37         9     -62.4      32.8
        34        36       -55      51.6
        49        28     -43.6        31
        44        29     -13.9     -27.9
         8        10       8.7     -13.5
        21         6      15.6     -49.1
        17        21    -104.1      97.8
        29        49      25.7     -48.5
         9        12     -35.8      13.1
        47        34      61.2     -61.7
        13        39       -82      79.5
        18        12     -22.5      20.6
        22        13      21.1     -48.1
        18        11     -44.7      42.6
        33        50      37.8     -44.3
        48        21     -87.4      79.6
        34        48        54     -56.4
        33        23       5.7     -15.8
        14        10      57.8     -78.8
        23         8      10.9     -16.8
        20        39     -88.1      65.4
        25        31    -113.9      93.6
        43        42     -90.2      86.5
        50        48      42.7       -47
        30         1        42     -53.6
        48        40     -75.3      62.2
        20        44     -74.1      45.9
        40        30       8.2      -8.6
        19        12        -8     -14.4
        44        15     -12.3     -17.6
        38        29       -12     -14.8
         5        38       8.5     -36.2
        32        46     -27.1      21.1
        35        20     -43.6      22.8
        25        45       -92      90.9
        49        16     -50.7      46.5
         3        33       -55      29.9
        18        41     -21.1       7.6
        10         4      15.8     -34.9
        26        48      45.1     -49.4
        27        14      -9.6       8.5
         2        29      -0.3     -24.5
