         i         j       pij       pji
        21        11         0         0
        25        10         0         0
         5         2         0         0
        22        27         0         0
        44        12         0         0
        50        17         0         0
         7        38         0         0
        44        45         0         0
        13        15         0         0
         2        29         0         0
        49        38         0         0
        42        43         0         0
        49        35         0         0
         9        47         0         0
        18        40         0         0
        39         4         0         0
        46        50         0         0
         4        28         0         0
        45        16         0         0
        31        32         0         0
        24        27         0         0
        34         4         0         0
         5        27         0         0
        39         3         0         0
        19        40         0         0
        20        30         0         0
         6        33         0         0
        25        42         0         0
        40        14         0         0
        11         8         0         0
         9        41         0         0
        43         9         0         0
        33        31         0         0
        26        23         0         0
        22         1         0         0
         8        48         0         0
        30         1         0         0
        49        37         0         0
        36         4         0         0
